Symbols,Healthy_1,Healthy_2,Healthy_3,Healthy_4,Healthy_5,Tumor_1,Tumor_2,Tumor_3,Tumor_4,Tumor_5,Tumor_6,Tumor_7,Tumor_8,Tumor_9,Tumor_10,Tumor_11,Tumor_12,Tumor_13,Tumor_14,Tumor_15
OR4K1,2.690778035,2.950564178,2.568398315,2.965971631,2.651604537,3.032525993,2.511939382,3.161933172,2.984125259,2.490831444,2.493044393,3.00474478,2.335087733,2.606841715,2.841509888,2.943684357,2.36977595,3.123233836,2.463635361,3.201918674
OR4K13,2.922310026,2.719647574,3.204483802,3.365352061,3.185312048,3.218138221,2.949584132,2.87503299,2.945231614,3.076810661,2.813587255,3.19441824,3.064600616,2.828988901,3.355257804,2.681728024,2.897710978,2.91940944,3.379556216,2.727531646
OR4K14,3.235366015,3.166993718,2.920868363,3.163851295,3.341608608,3.456170559,2.940520172,3.127059475,3.56813226,3.133353775,2.875088003,3.268202978,2.912361225,3.3732984,3.209126711,2.993754518,2.844008912,3.414623703,3.43634939,3.401099022
OR4K15,2.922045049,2.45578316,3.195358493,2.732862435,2.860776294,2.571012584,2.193867787,2.207068855,2.833737515,2.395659396,2.200490929,2.413599639,3.080874815,2.21281803,2.130240057,2.171726596,2.270505286,1.939446645,2.798879833,2.560052762
OR4K15,2.486958624,3.14089834,2.885325946,2.547866112,2.883833894,2.700915496,2.813284884,2.438482218,2.612029132,2.760387285,2.662069158,2.908941827,2.703425022,2.52348766,2.641417137,2.401482626,2.581845205,2.666164714,2.559821075,2.555655729
OR4K17,3.808783333,2.988856893,3.588959962,3.714697741,3.356170042,3.457079127,3.32562616,3.403931908,3.725379593,3.053509372,3.116406367,3.50713415,3.0958814,3.671847097,3.465956092,3.767513223,3.505006193,3.882536876,4.162867863,3.316076639
OR4K2,3.123963879,3.47906081,2.851060184,3.382923178,2.778224412,2.761063107,2.61588372,2.939168594,2.639812189,2.843459513,2.803292363,2.526113244,3.184950987,2.809058856,2.743186425,2.394850226,2.568098324,3.035346604,2.575591728,2.839314235
OR4K5,2.42673093,2.798151239,2.656797175,2.965749389,2.783565554,2.971803132,2.678948007,2.620425129,3.071551498,2.842956175,2.879909436,2.632007194,3.025198701,3.325903139,2.441597668,2.415755799,2.990931748,3.829807033,3.543047485,2.941165553
OR4L1,2.865428319,3.032851592,3.080237151,3.195958521,3.149980741,3.471856962,3.131696234,2.763896364,3.221679818,3.296747703,3.039436394,3.739874761,3.317896305,2.944438863,3.201030221,3.076751491,2.934019742,3.254057258,3.274049658,3.045693528
OR4N2,3.159195598,4.329675897,3.193005274,3.899372728,2.829483207,3.396735827,3.001939424,3.116936451,3.053381944,2.738668457,3.465920997,3.773405324,3.691714607,2.875070893,3.317593877,2.781984587,3.327390417,3.721182253,3.912202039,2.7019465
OR4N3P,2.557176265,3.082073944,2.082971506,3.043176624,2.692248617,2.698374736,2.892776005,2.119818012,2.360497787,2.883563163,2.199401296,2.67614428,2.416131101,2.554272419,2.772993122,2.438471037,1.83492881,2.900642198,2.41079484,2.001693681
